Name,Size (Imperial),Size (Metric),Calories,Calories From Fat,Total Fat,% Fat Daily Value,Saturated Fat,% Saturated Fat Daily Value,Trans Fat,Cholesterol,% Cholesterol Daily Value,Sodium,% Sodium Daily value,Carbohydrates,% Carbohydrates Daily Value,Dietary Fiber,% Dietary Fiber Daily Value,Sugars,Protein,Vitamin A,Vitamin C,Calcium,Iron
Premium Southwest Salad with Grilled Chicken,11.8,335,290,70,8,13,2.5,13,0,70,23,650,27,28,9,7,27,11,27,160,35,15,15
Side Salad,3.1,87,20,0,0,0,0,0,0,0,0,10,0,4,1,1,6,2,1,45,25,2,4
Snack Size Fruit & Walnuts,5.75,163,210,70,8,13,1.5,7,0,5,2,60,2,31,10,2,9,25,4,0,170,8,2
Small French Fries,2.5,71,230,100,11,18,1.5,8,0,0,0,160,7,29,10,3,12,0,3,0,8,2,4
Apple Slices,1.2,34,15,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,160,2,0
Side Salad,3.1,87,20,0,0,0,0,0,0,0,0,10,0,4,1,1,6,2,1,45,25,2,4
Fruit 'n Yogurt Parfait,5.2,149,150,20,2,3,1,5,0,5,2,70,3,30,10,1,3,23,4,2,15,10,4
Snack Size Fruit & Walnuts,5.75,163,210,70,8,13,1.5,7,0,5,2,60,2,31,10,2,9,25,4,0,170,8,2
Angus Bacon & Cheese Snack Wrap,5.1,145,390,190,21,33,9,47,1,75,25,1080,45,28,9,1,5,4,21,6,2,10,20
Angus Deluxe Snack Wrap,6,170,410,220,25,38,10,49,1.5,75,25,990,41,27,9,2,6,3,20,8,4,10,20
Angus Mushroom & Swiss Snack Wrap,5.7,162,430,230,26,39,10,50,1.5,75,26,730,30,27,9,2,8,2,22,4,0,15,20
Chipotle BBQ Snack Wrap® (Crispy),4.1,117,330,140,15,23,4.5,22,0,30,10,720,30,34,11,1,5,4,14,4,2,10,10
Chipotle BBQ Snack Wrap® (Grilled),4.2,117,250,70,8,12,3.5,18,0,40,14,670,28,27,9,1,5,5,16,4,2,10,10
Honey Mustard Snack Wrap® (Crispy),4.1,116,330,140,15,24,4.5,22,0,30,10,700,29,33,11,1,5,4,14,2,2,10,10
Honey Mustard Snack Wrap® (Grilled),4.1,116,250,70,8,13,3.5,18,0,45,14,650,27,27,9,1,5,4,16,2,2,10,10
Ranch Snack Wrap® (Crispy),4.2,118,350,170,19,29,5,26,0,35,11,750,31,31,10,1,5,2,14,2,2,10,10
Ranch Snack Wrap® (Grilled),4.2,118,270,110,12,18,4,21,0,45,15,700,29,25,8,1,5,2,16,2,2,10,10
Mac Snack Wrap,4.4,126,330,170,19,29,7,34,1,45,15,690,29,26,9,1,5,3,15,2,0,8,15
Spicy Chicken McBites™ Regular Size,4.5,127,410,220,25,38,4.5,23,0,55,18,890,37,27,9,0,0,0,21,6,2,4,4
Large French Fries,5.4,154,500,220,25,38,3.5,17,0,0,0,350,15,63,21,6,26,0,6,0,20,2,8
Medium French Fries,4.1,117,380,170,19,29,2.5,13,0,0,0,270,11,48,16,5,20,0,4,0,15,2,6
Kids Fries,1.1,31,100,45,5,8,0.5,4,0,0,0,70,3,13,4,1,5,0,1,0,4,0,2
1% Low Fat Milk Jug,8,236,100,20,2.5,4,1.5,8,0,10,3,125,5,12,4,0,0,12,8,10,4,30,0
Fat Free Chocolate Milk Jug,8,236,130,0,0,0,0,0,0,5,2,135,6,23,8,0,0,22,9,10,0,30,8
Minute Maid® 100% Apple Juice Box,6.8,200,100,0,0,0,0,0,0,0,0,15,1,23,8,0,0,22,0,0,100,10,0
Dasani® Water,16.9,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
